country,country_norm,crimeindex_2020,crimeindex_2023,safetyindex_2020,age_0_14,age_15_64,age_65_plus,population,density_per_km2
Venezuela,venezuela,84.49,83.76,15.51,27.6,65.8,7.0,32219521.0,35.0
South Africa,south africa,77.49,76.86,22.51,29.0,65.7,5.0,58775022.0,48.0
Papua New Guinea,papua new guinea,81.93,80.79,18.07,35.9,60.3,4.0,8935000.0,19.0
Honduras,honduras,76.11,74.54,23.89,31.6,63.7,5.0,9158345.0,81.0
Afghanistan,afghanistan,76.23,76.31,23.77,43.2,54.2,3.0,31575018.0,49.0
Brazil,brazil,68.88,67.49,31.12,21.7,69.7,9.0,211270518.0,25.0
Trinidad And Tobago,trinidad and tobago,73.19,73.19,26.81,20.7,69.3,10.0,1363985.0,265.0
MD,united states,47.2,47.81,52.8,18.9,65.7,15.0,329470935.0,34.0
Argentina,argentina,61.77,63.82,38.23,24.9,63.9,11.0,44938712.0,16.0
Australia,australia,41.36,43.03,58.64,19.0,65.5,16.0,25649909.0,3.0
Ecuador,ecuador,50.9,55.23,49.1,28.4,64.5,7.0,17446584.0,63.0
Mexico,mexico,53.97,54.19,46.03,26.7,66.5,7.0,126577691.0,64.0
Peru,peru,68.15,66.72,31.85,27.4,65.5,7.0,32162184.0,25.0
Jamaica,jamaica,66.04,67.42,33.96,22.7,67.6,10.0,2726667.0,248.0
Colombia,colombia,54.79,56.87,45.21,23.5,68.9,8.0,46202800.0,40.0
Syria,syria,66.46,67.18,33.54,36.6,59.1,4.0,17070135.0,92.0
United Kingdom,united kingdom,43.71,46.07,56.29,17.7,63.8,19.0,66435600.0,274.0
Namibia,namibia,67.21,65.21,32.79,36.7,59.8,4.0,2413643.0,2.9
Puerto Rico,puerto rico,65.63,62.84,34.37,15.9,63.8,20.3,3203792.0,361.0
Nigeria,nigeria,63.77,64.06,36.23,44.0,53.3,3.0,200962000.0,218.0
Dominican Republic,dominican republic,61.16,61.02,38.84,29.3,63.7,7.0,10358320.0,216.0
El Salvador,el salvador,67.96,67.79,32.04,27.4,64.4,8.0,6704864.0,319.0
Philippines,philippines,42.16,42.46,57.84,31.7,63.5,5.0,108420484.0,361.0
France,france,46.79,51.99,53.21,18.1,62.2,20.0,67060000.0,123.0
Italy,italy,44.26,44.85,55.74,13.5,63.5,23.0,60252824.0,200.0
Guatemala,guatemala,57.83,58.67,42.17,35.1,60.3,5.0,17679735.0,162.0
Kazakhstan,kazakhstan,62.02,53.77,37.98,27.9,65.1,7.0,18592700.0,7.0
Bangladesh,bangladesh,63.94,63.9,36.06,28.4,66.5,5.0,168287530.0,1169.0
AB,canada,39.67,41.89,60.33,16.0,67.0,17.0,37961548.0,4.0
Malaysia,malaysia,58.84,57.29,41.16,24.3,69.4,6.0,32722760.0,99.0
Maldives,maldives,53.21,55.34,46.79,23.4,72.5,4.0,374775.0,1258.0
Libya,libya,62.19,61.78,37.81,28.2,67.4,4.0,6470956.0,3.7
Chile,chile,45.23,53.42,54.77,20.3,68.6,11.0,17373831.0,23.0
Zimbabwe,zimbabwe,57.47,59.3,42.53,41.2,56.0,3.0,15159624.0,39.0
Belgium,belgium,43.98,44.58,56.02,17.1,64.3,19.0,11524454.0,376.0
India,india,43.32,44.43,56.68,27.8,66.2,6.0,1359933123.0,414.0
Kenya,kenya,61.66,60.14,38.34,40.5,56.8,3.0,47564296.0,82.0
Iraq,iraq,47.78,48.42,52.22,40.4,56.4,3.0,39309783.0,90.0
Belarus,belarus,24.99,59.58,75.01,16.7,68.5,15.0,9465300.0,46.0
Iran,iran,49.25,49.38,50.75,23.7,70.9,5.0,83290141.0,51.0
Greece,greece,40.32,45.85,59.68,14.2,65.4,20.0,10724599.0,81.0
Uruguay,uruguay,53.81,51.73,46.19,21.1,64.3,15.0,3388080.0,19.36
Costa Rica,costa rica,56.33,54.22,43.67,21.3,68.9,10.0,5058007.0,99.0
Sweden,sweden,47.07,48.0,52.93,17.5,62.5,20.0,10365705.0,23.0
Cambodia,cambodia,50.66,51.13,49.34,31.3,64.3,4.0,16289270.0,90.0
Morocco,morocco,48.69,48.66,51.31,27.4,65.8,7.0,35842238.0,80.0
Mongolia,mongolia,57.97,56.01,42.03,29.7,66.3,4.0,3000000.0,1.9
Portugal,portugal,29.63,29.91,70.37,13.6,64.9,22.0,10276617.0,112.0
Pakistan,pakistan,44.08,42.51,55.92,34.8,60.7,5.0,218983520.0,272.0
Ireland,ireland,45.43,45.51,54.57,21.6,64.4,14.0,4921500.0,70.0
Ukraine,ukraine,48.85,47.42,51.15,15.5,68.0,17.0,41902416.0,69.0
Spain,spain,31.96,33.32,68.04,14.7,65.9,19.0,46934632.0,93.0
Indonesia,indonesia,45.84,45.93,54.16,27.4,67.3,5.0,268074600.0,141.0
Algeria,algeria,49.81,52.03,50.19,29.3,64.5,6.0,43000000.0,18.0
Vietnam,vietnam,45.35,46.19,54.65,23.1,69.8,7.0,96208984.0,290.0
Paraguay,paraguay,49.6,49.37,50.4,29.4,64.2,6.0,7052983.0,17.0
Egypt,egypt,46.92,46.83,53.08,33.5,61.4,5.0,100138465.0,100.0
New Zealand,new zealand,40.93,42.88,59.07,19.8,64.9,15.0,4971205.0,18.0
Romania,romania,27.64,28.3,72.36,15.3,66.9,18.0,19405156.0,81.0
Ethiopia,ethiopia,49.21,49.3,50.79,40.6,55.9,4.0,107534882.0,101.0
Tunisia,tunisia,41.88,43.69,58.12,24.0,68.0,8.0,11722038.0,72.0
Russia,russia,41.12,39.99,58.88,17.6,68.2,14.0,146877088.0,9.0
Panama,panama,47.19,45.15,52.81,27.4,64.7,8.0,4158783.0,56.0
Turkey,turkey,39.49,39.62,60.51,25.0,66.9,8.0,83154997.0,106.0
North Macedonia,north macedonia,38.67,39.12,61.33,23.7,64.4,12.0,2077132.0,81.0
Lebanon,lebanon,43.36,46.77,56.64,23.1,68.4,9.0,6855713.0,672.0
Bosnia And Herzegovina,bosnia and herzegovina,43.03,43.03,56.97,14.1,69.3,17.0,3511372.0,69.0
Thailand,thailand,40.48,39.35,59.52,17.3,71.3,11.0,66482792.0,130.0
Norway,norway,35.43,33.72,64.57,17.8,65.4,17.0,5367580.0,17.0
Germany,germany,34.81,35.79,65.19,13.1,65.5,22.0,83149300.0,233.0
Moldova,moldova,44.98,46.35,55.02,15.7,73.4,11.0,2681735.0,79.0
Albania,albania,39.52,42.53,60.48,17.4,68.9,13.0,2862427.0,100.0
Bulgaria,bulgaria,38.5,38.21,61.5,14.2,65.0,21.0,7000039.0,63.0
Sri Lanka,sri lanka,40.22,41.39,59.78,24.0,65.9,10.0,21803000.0,332.0
Poland,poland,28.5,30.5,71.5,14.8,68.4,17.0,38386000.0,123.0
Serbia,serbia,37.41,38.1,62.59,16.5,66.2,17.0,6901188.0,89.0
Jordan,jordan,40.83,39.96,59.17,35.5,60.7,4.0,10638536.0,119.0
Latvia,latvia,36.95,38.77,63.05,15.4,64.8,20.0,1910400.0,30.0
Lithuania,lithuania,33.06,33.42,66.94,14.8,66.2,19.0,2793466.0,43.0
Nepal,nepal,34.56,36.01,65.44,30.9,63.3,6.0,29609623.0,201.0
Israel,israel,29.6,31.47,70.4,27.9,60.4,12.0,9173250.0,416.0
Finland,finland,23.32,27.59,76.68,16.4,62.4,21.0,5527405.0,16.0
Hungary,hungary,35.08,34.36,64.92,14.3,67.1,19.0,9764000.0,105.0
Cyprus,cyprus,30.01,31.28,69.99,16.8,69.8,13.0,875900.0,149.0
Japan,japan,20.66,22.19,79.34,12.9,60.1,27.0,126010000.0,333.0
Netherlands,netherlands,27.62,27.16,72.38,16.4,64.8,19.0,17445781.0,420.0
China,china,31.83,30.14,68.17,17.7,71.7,11.0,1401812360.0,145.0
Croatia,croatia,24.71,24.59,75.29,14.7,65.6,20.0,4087843.0,72.0
Cuba,cuba,27.45,28.33,72.55,16.1,69.2,15.0,11209628.0,102.0
Slovakia,slovakia,29.22,30.37,70.78,15.4,69.6,15.0,5450421.0,111.0
Azerbaijan,azerbaijan,31.61,32.02,68.39,23.3,70.7,6.0,10067108.0,116.0
Kuwait,kuwait,34.75,33.42,65.25,21.1,76.6,2.0,4420110.0,248.0
Switzerland,switzerland,21.6,21.62,78.4,14.9,66.7,18.0,8586550.0,208.0
Singapore,singapore,30.57,27.96,69.43,15.0,72.1,13.0,5703600.0,7894.0
Luxembourg,luxembourg,33.39,34.13,66.61,16.5,69.2,14.0,613894.0,237.0
Saudi Arabia,saudi arabia,26.18,25.23,73.82,25.2,71.5,3.0,34218169.0,16.0
Austria,austria,23.73,25.54,76.27,14.1,66.7,19.0,8902600.0,106.0
Denmark,denmark,25.1,26.22,74.9,16.5,63.8,20.0,5814461.0,135.0
Czech Republic,czech republic,25.52,25.52,74.48,15.4,65.6,19.0,10681161.0,135.0
Georgia,georgia,20.21,23.38,79.79,19.2,66.0,15.0,3729600.0,54.0
South Korea,south korea,28.02,26.68,71.98,13.5,72.6,14.0,51780579.0,517.0
Estonia,estonia,23.14,23.71,76.86,16.4,64.2,20.0,1324820.0,29.0
Iceland,iceland,23.36,23.75,76.64,20.1,65.5,14.0,360390.0,3.5
Armenia,armenia,21.6,22.79,78.4,20.0,68.8,11.0,2957500.0,99.0
Slovenia,slovenia,21.07,22.28,78.93,15.0,66.0,19.0,2084301.0,103.0
Hong Kong (China),hong kong,20.7,22.0,79.3,11.5,72.2,16.0,7500700.0,6782.0
Oman,oman,20.79,20.34,79.21,21.8,75.8,2.0,4183841.0,14.0
United Arab Emirates,united arab emirates,15.7,15.23,84.3,13.9,85.0,1.0,9770529.0,117.0
Taiwan,taiwan,15.65,15.46,84.35,13.12,73.02,14.0,23604265.0,652.0
Qatar,qatar,11.86,12.13,88.14,13.9,84.8,1.0,2740479.0,237.0
Angola,angola,64.97,66.48,35.03,46.8,50.8,2.0,29250009.0,23.0
Tanzania,tanzania,58.95,56.0,41.05,44.9,52.0,3.0,55890747.0,59.0
Botswana,botswana,53.49,52.98,46.51,31.4,64.7,4.0,2302878.0,4.0
Montenegro,montenegro,41.18,41.18,58.82,18.1,67.1,15.0,622182.0,45.0
Ghana,ghana,48.97,46.98,51.03,38.5,58.1,3.0,30280811.0,127.0
Uzbekistan,uzbekistan,33.42,33.42,73.4,28.0,67.5,5.0,32653900.0,73.0
Rwanda,rwanda,24.89,24.89,73.7,40.1,56.9,3.0,12374397.0,470.0
Bahrain,bahrain,29.29,25.64,70.71,19.7,77.9,2.0,1543300.0,1983.0
