rank,country,area_km2,area_mi2,population,density_per_km2,density_per_mi2,date,population_source,country_norm
–,Abkhazia,8660.0,3344.0,243206,28.0,73.0,"April 27, 2018",,abkhazia
128,Afghanistan,645807.0,249347.0,31575018,49.0,127.0,"July 1, 2018",Official estimate,afghanistan
84,Albania,28703.0,11082.0,2862427,100.0,259.0,"January 1, 2019",Official annual estimate,albania
168,Algeria,2381741.0,919595.0,43000000,18.0,47.0,"January 1, 2019",Official Projection,algeria
–,American Samoa (US),197.0,76.0,57100,290.0,751.0,"July 1, 2020",Annual projection,american samoa (us)
53,Andorra,464.0,179.0,76177,164.0,425.0,"December 31, 2018",Official estimate,andorra
157,Angola,1246700.0,481354.0,29250009,23.0,60.0,"January 1, 2018",Official estimate,angola
–,Anguilla (UK),96.0,37.0,13452,140.0,363.0,"May 11, 2011",Preliminary 2011 census result,anguilla (uk)
40,Antigua and Barbuda,442.0,171.0,104084,235.0,609.0,"July 1, 2019",UN projection,antigua and barbuda
173,Argentina,2780400.0,1073518.0,44938712,16.0,41.0,"July 1, 2019",Annual official estimate,argentina
87,Armenia,29743.0,11484.0,2957500,99.0,256.0,"September 30, 2019",Official quarterly estimate,armenia
–,Artsakh,11458.0,4424.0,150932,13.0,34.0,"October 14, 2015",,artsakh
–,Aruba (Kingdom of the Netherlands),180.0,69.0,112309,624.0,1616.0,"January 1, 2019",Official estimate,aruba (kingdom of the netherlands)
192,Australia,7692024.0,2969907.0,25649909,3.0,9.0,"March 18, 2020",Official estimate,australia
76,Austria,83879.0,32386.0,8902600,106.0,275.0,"January 1, 2020",Official quarterly estimate,austria
72,Azerbaijan,86600.0,33436.0,10067108,116.0,300.0,"January 1, 2020",Official publication,azerbaijan
150,Bahamas,13940.0,5382.0,386870,28.0,73.0,"July 1, 2018",Official Projection,bahamas
4,Bahrain,778.0,300.0,1543300,1983.0,5136.0,"July 1, 2019",Official annual projection,bahrain
7,Bangladesh,143998.0,55598.0,168287530,1169.0,3027.0,"March 18, 2020",Official population clock,bangladesh
9,Barbados,430.0,166.0,287025,668.0,1730.0,"July 1, 2019",UN projection,barbados
133,Belarus,207600.0,80155.0,9465300,46.0,119.0,"April 1, 2019",Quarterly official estimate,belarus
22,Belgium,30689.0,11849.0,11524454,376.0,974.0,"January 1, 2020",Official monthly estimate,belgium
170,Belize,22965.0,8867.0,398050,17.0,44.0,"July 1, 2018",Official annual estimate,belize
79,Benin,112622.0,43484.0,11733059,104.0,269.0,"July 1, 2019",Official annual projection,benin
–,Bermuda (UK),52.0,20.0,64027,1227.0,3178.0,"July 1, 2019",Official Projection,bermuda (uk)
162,Bhutan,38394.0,14824.0,824148,21.0,56.0,"March 18, 2020",Official population clock,bhutan
180,Bolivia,1098581.0,424164.0,11307314,10.0,26.0,"July 1, 2018",Official Projection,bolivia
–,Bonaire (Netherlands),288.0,111.0,18905,66.0,171.0,"December 31, 2014",,bonaire (netherlands)
114,Bosnia and Herzegovina,51209.0,19772.0,3511372,69.0,179.0,"July 1, 2016",Official estimate,bosnia and herzegovina
185,Botswana,581730.0,224607.0,2302878,4.0,10.4,"July 1, 2018",Official Projection,botswana
154,Brazil,8515767.0,3287956.0,211270518,25.0,64.0,"March 18, 2020",Official population clock,brazil
–,British Virgin Islands (UK),151.0,58.0,32206,213.0,552.0,"July 1, 2019",UN projection,british virgin islands (uk)
108,Brunei,5765.0,2226.0,421300,73.0,189.0,"July 1, 2017",Official estimate,brunei
119,Bulgaria,111002.0,42858.0,7000039,63.0,163.0,"December 31, 2018",Official annual estimate,bulgaria
106,Burkina Faso,270764.0,104543.0,20244080,75.0,194.0,"July 1, 2018",Annual official projection,burkina faso
20,Burundi,27816.0,10740.0,11215578,403.0,1044.0,"July 1, 2020",Official annual projection,burundi
91,Cambodia,181035.0,69898.0,16289270,90.0,233.0,"July 1, 2019",Official annual projection,cambodia
125,Cameroon,466050.0,179943.0,24348251,52.0,135.0,"July 1, 2019",Official Projection,cameroon
187,Canada,9984670.0,3855103.0,37961548,4.0,10.0,"March 18, 2020",Official estimate,canada
62,Cape Verde,4033.0,1557.0,550483,136.0,352.0,"July 1, 2019",Official annual projection,cape verde
–,Cayman Islands (UK),259.0,100.0,65813,254.0,658.0,"December 31, 2018",Official estimate,cayman islands (uk)
183,Central African Republic,622436.0,240324.0,4737423,8.0,21.0,"July 1, 2018",UN projection,central african republic
179,Chad,1284000.0,495755.0,15353184,12.0,31.0,"July 1, 2018",UN projection,chad
158,Chile,756096.0,291930.0,17373831,23.0,60.0,"August 31, 2017",Preliminary 2017 census result,chile
59,China,9640821.0,3722342.0,1401812360,145.0,377.0,"March 18, 2020",Official estimate,china
–,Christmas Island (Australia),137.0,53.0,2072,15.0,39.0,"August 9, 2011",2011 census result,christmas island (australia)
–,Cocos (Keeling) Islands (Australia),14.0,5.0,544,39.0,101.0,"August 9, 2016",census result,cocos (keeling) islands (australia)
139,Colombia,1141748.0,440831.0,46202800,40.0,105.0,"March 18, 2020",Official population clock,colombia
15,Comoros,1861.0,719.0,873724,469.0,1215.0,"July 1, 2019",Official Projection,comoros
–,Cook Islands (NZ),237.0,92.0,15250,64.0,166.0,"July 1, 2020",Annual projection,cook islands (nz)
86,Costa Rica,51100.0,19730.0,5058007,99.0,256.0,"June 30, 2019",Official estimate,costa rica
109,Croatia,56542.0,21831.0,4087843,72.0,186.0,"July 1, 2018",Annual official estimate,croatia
81,Cuba,109884.0,42426.0,11209628,102.0,264.0,"December 31, 2018",Official annual estimate,cuba
–,Curaçao (Kingdom of the Netherlands),444.0,171.0,158665,357.0,925.0,"January 1, 2019",Official estimate,curaçao (kingdom of the netherlands)
57,Cyprus,5896.0,2276.0,875900,149.0,386.0,"December 31, 2018",Official estimate,cyprus
63,Czech Republic,78867.0,30451.0,10681161,135.0,350.0,"September 30, 2019",Official quarterly estimate,czech republic
142,Democratic Republic of the Congo,2345095.0,905446.0,86790567,37.0,96.0,"July 1, 2019",UN projection,democratic republic of the congo
64,Denmark,43098.0,16640.0,5814461,135.0,350.0,"July 1, 2019",Official quarterly estimate,denmark
132,Djibouti,23000.0,8880.0,1078373,47.0,122.0,"July 1, 2019",Official Projection,djibouti
88,Dominica,739.0,285.0,71808,97.0,251.0,"July 1, 2019",UN projection,dominica
43,Dominican Republic,47875.0,18485.0,10358320,216.0,559.0,"July 1, 2019",Official Projection,dominican republic
120,Ecuador,276841.0,106889.0,17446584,63.0,163.0,"March 18, 2020",Official Projection,ecuador
83,Egypt,1002450.0,387048.0,100138465,100.0,259.0,"March 18, 2020",Official population clock,egypt
26,El Salvador,21040.0,8124.0,6704864,319.0,826.0,"July 1, 2019",Official annual projection,el salvador
131,Equatorial Guinea,28051.0,10831.0,1358276,48.0,124.0,"July 1, 2018",Official estimate,equatorial guinea
149,Eritrea,121100.0,46757.0,3497117,29.0,75.0,"July 1, 2019",UN projection,eritrea
148,Estonia,45339.0,17505.0,1324820,29.0,75.0,"January 1, 2019",Official estimate,estonia
115,Eswatini (Swaziland),17364.0,6704.0,1159250,67.0,174.0,"July 1, 2018",Official Projection,eswatini (swaziland)
82,Ethiopia,1063652.0,410678.0,107534882,101.0,262.0,"July 1, 2018",UN projection,ethiopia
–,Falkland Islands (UK),12173.0,4700.0,2563,0.21,0.54,"April 15, 2012",2012 census result,falkland islands (uk)
–,Faroe Islands (Denmark),1399.0,540.0,50844,34.0,88.0,"May 1, 2018",Official monthly estimate,faroe islands (denmark)
56,Federated States of Micronesia,701.0,271.0,105600,151.0,391.0,"July 1, 2020",Annual projection,federated states of micronesia
129,Fiji,18333.0,7078.0,884887,48.0,124.0,"September 17, 2017",Official census result,fiji
172,Finland,338424.0,130666.0,5527405,16.0,41.0,"December 20, 2019",Official monthly estimate,finland
68,France,543965.0,210026.0,67060000,123.0,319.0,"December 1, 2019",Monthly official estimate,france
–,French Guiana (France),86504.0,33399.0,244118,2.8,7.3,"July 1, 2013",Official estimate,french guiana (france)
–,French Polynesia (France),3521.0,1359.0,280600,80.0,207.0,"July 1, 2020",Annual projection,french polynesia (france)
182,Gabon,267667.0,103347.0,2067561,8.0,21.0,"July 1, 2018",UN projection,gabon
47,Gambia,10690.0,4127.0,2228075,208.0,539.0,"July 1, 2019",UN projection,gambia
123,Georgia,69700.0,26911.0,3729600,54.0,140.0,"January 1, 2018",Official estimate,georgia
41,Germany,357168.0,137903.0,83149300,233.0,603.0,"September 30, 2019",Official quarterly estimate,germany
67,Ghana,238533.0,92098.0,30280811,127.0,329.0,"July 1, 2019",Official Projection,ghana
–,Gibraltar (UK),6.8,2.6,33701,4956.0,12836.0,"July 1, 2019",UN projection,gibraltar (uk)
98,Greece,131957.0,50949.0,10724599,81.0,210.0,"January 1, 2019",Official estimate,greece
–,Greenland (Denmark),2166000.0,836297.0,55877,0.03,0.08,"January 1, 2018",Official estimate,greenland (denmark)
27,Grenada,344.0,133.0,108825,316.0,818.0,"July 1, 2019",UN projection,grenada
–,Guadeloupe (France),1628.4,629.0,395725,243.0,629.0,"January 1, 2016",Official estimate,guadeloupe (france)
–,Guam (US),541.0,209.0,175200,324.0,839.0,"July 1, 2019",Annual projection,guam (us)
54,Guatemala,108889.0,42042.0,17679735,162.0,420.0,"July 1, 2019",Official annual projection,guatemala
–,Guernsey (Crown dependency),78.0,30.0,62723,804.0,2082.0,"March 31, 2016",Official estimate,guernsey (crown dependency)
127,Guinea,245857.0,94926.0,12218357,50.0,129.0,"July 1, 2019",Official Projection,guinea
137,Guinea-Bissau,36125.0,13948.0,1604528,44.0,114.0,"July 1, 2019",Official annual projection,guinea-bissau
189,Guyana,214999.0,83012.0,782225,3.6,9.3,"July 1, 2018",UN projection,guyana
17,Haiti,27065.0,10450.0,11263077,416.0,1077.0,"July 1, 2019",UN projection,haiti
96,Honduras,112492.0,43433.0,9158345,81.0,210.0,"July 1, 2019",Official Projection,honduras
–,Hong Kong,1106.0,427.0,7500700,6782.0,17565.0,"December 31, 2019",Official estimate,hong kong
78,Hungary,93029.0,35919.0,9764000,105.0,272.0,"January 1, 2019",Annual official estimate,hungary
191,Iceland,102775.0,39682.0,360390,3.5,9.1,"June 30, 2019",Official estimate,iceland
19,India,3287240.0,1269211.0,1359933123,414.0,1071.0,"March 18, 2020",Population clock,india
60,Indonesia,1904569.0,735358.0,268074600,141.0,365.0,"July 1, 2019",Official annual projection,indonesia
126,Iran,1648195.0,636372.0,83290141,51.0,131.0,"March 18, 2020",Official population clock,iran
92,Iraq,438317.0,169235.0,39309783,90.0,233.0,"July 1, 2019",UN projection-,iraq
112,Ireland,70273.0,27133.0,4921500,70.0,181.0,"April 1, 2019",Official annual estimate,ireland
–,Isle of Man (Crown dependency),572.0,221.0,83314,146.0,378.0,"April 24, 2016",2016 census result,isle of man (crown dependency)
18,Israel,22072.0,8522.0,9173250,416.0,1076.0,"March 18, 2020",Official population clock,israel
51,Italy,301308.0,116336.0,60252824,200.0,518.0,"August 31, 2019",Monthly official estimate,italy
101,Ivory Coast,322921.0,124680.0,25823071,80.0,207.0,"January 1, 2019",Official Projection,ivory coast
36,Jamaica,10991.0,4244.0,2726667,248.0,642.0,"December 31, 2018",Official estimate,jamaica
24,Japan,377975.0,145937.0,126010000,333.0,862.0,"February 1, 2020",Monthly official estimate,japan
–,Jersey (Crown dependency),116.0,45.0,104200,898.0,2326.0,"December 31, 2016",Official estimate,jersey (crown dependency)
70,Jordan,89342.0,34495.0,10638536,119.0,308.0,"March 18, 2020",Official population clock,jordan
184,Kazakhstan,2724900.0,1052090.0,18592700,7.0,18.0,"January 4, 2020",Official monthly estimate,kazakhstan
94,Kenya,581834.0,224647.0,47564296,82.0,212.0,"August 31, 2019",2019 census result,kenya
55,Kiribati,811.0,313.0,125000,154.0,399.0,"July 1, 2020",Annual projection,kiribati
–,Kosovo,10910.0,4212.0,1795666,165.0,427.0,"December 31, 2018",Official estimate,kosovo
35,Kuwait,17818.0,6880.0,4420110,248.0,642.0,"January 1, 2019",Official estimate,kuwait
146,Kyrgyzstan,199945.0,77199.0,6309300,32.0,83.0,"June 1, 2018",Official estimate,kyrgyzstan
151,Laos,236800.0,91429.0,6492400,27.0,70.0,"March 1, 2015",Preliminary 2015 census result,laos
147,Latvia,64562.0,24928.0,1910400,30.0,78.0,"October 1, 2019",Official monthly estimate,latvia
8,Lebanon,10452.0,4036.0,6855713,672.0,1740.0,"July 1, 2019",UN projection,lebanon
105,Lesotho,30355.0,11720.0,2263010,75.0,194.0,"July 1, 2018",UN projection,lesotho
134,Liberia,97036.0,37466.0,4475353,46.0,119.0,"July 1, 2019",Official Projection,liberia
188,Libya,1770060.0,683424.0,6470956,3.7,9.6,"July 1, 2018",UN projection,libya
37,Liechtenstein,160.0,62.0,38380,240.0,622.0,"December 31, 2018",Official estimate,liechtenstein
138,Lithuania,65300.0,25212.0,2793466,43.0,111.0,"November 1, 2019",Monthly official estimate,lithuania
38,Luxembourg,2586.0,998.0,613894,237.0,614.0,"January 1, 2019",Official estimate,luxembourg
–,Macau,32.9,13.0,676100,20550.0,53224.0,"September 30, 2019",Official quarterly estimate,macau
136,Madagascar,587041.0,226658.0,25680342,44.0,114.0,"May 18, 2018",Official Census,madagascar
58,Malawi,118484.0,45747.0,17563749,148.0,383.0,"September 3, 2018",2018 Census Result,malawi
85,Malaysia,330803.0,127724.0,32722760,99.0,256.0,"March 18, 2020",Official population clock,malaysia
6,Maldives,298.0,115.0,374775,1258.0,3258.0,"December 31, 2018",Official estimate,maldives
176,Mali,1248574.0,482077.0,19107706,15.0,39.0,"July 1, 2018",UN projection,mali
5,Malta,315.0,122.0,493559,1510.0,3911.0,"July 10, 2019",Official estimate,malta
28,Marshall Islands,181.0,70.0,55900,309.0,800.0,"July 1, 2020",Annual projection,marshall islands
–,Martinique (France),1128.0,436.0,371246,329.0,852.0,"January 1, 2018",Official estimate,martinique (france)
186,Mauritania,1030700.0,397955.0,3984233,4.0,10.4,"July 1, 2018",Official Projection,mauritania
10,Mauritius,2040.0,788.0,1265577,620.0,1606.0,"July 1, 2018",Official estimate,mauritius
–,Mayotte (France),374.0,144.0,256518,686.0,1777.0,"September 5, 2017",2017 census result,mayotte (france)
117,Mexico,1967138.0,759516.0,126577691,64.0,166.0,"July 1, 2019",Official estimate,mexico
103,Moldova,33843.0,13067.0,2681735,79.0,205.0,"January 1, 2019",Official estimate,moldova
1,Monaco,2.02,0.78,38300,18960.0,49106.0,"December 31, 2018",Official estimate,monaco
194,Mongolia,1564100.0,603902.0,3000000,1.9,4.9,"January 24, 2015",Official estimate,mongolia
135,Montenegro,13812.0,5333.0,622182,45.0,117.0,"January 1, 2019",Official estimate,montenegro
–,Montserrat (UK),102.0,39.0,4922,48.0,124.0,"May 12, 2011",2011 census result,montserrat (uk)
102,Morocco,446550.0,172414.0,35842238,80.0,208.0,"March 18, 2020",Official population clock,morocco
143,Mozambique,799380.0,308642.0,28571310,36.0,93.0,"July 1, 2019",Official Projection,mozambique
100,Myanmar,676577.0,261228.0,54339766,80.0,207.0,"July 1, 2019",Official annual projection,myanmar
193,Namibia,825118.0,318580.0,2413643,2.9,7.5,"July 1, 2018",Official Projection,namibia
12,Nauru,21.0,8.0,11200,533.0,1380.0,"July 1, 2020",Annual projection,nauru
50,Nepal,147181.0,56827.0,29609623,201.0,521.0,"July 1, 2019",Official annual projection,nepal
16,Netherlands,41526.0,16033.0,17445781,420.0,1088.0,"March 18, 2020",Official population clock,netherlands
–,New Caledonia (France),18575.0,7172.0,258958,14.0,36.0,"July 1, 2013",Official estimate,new caledonia (france)
167,New Zealand,270467.0,104428.0,4971205,18.0,48.0,"March 18, 2020",Official population clock,new zealand
124,Nicaragua,121428.0,46884.0,6393824,53.0,137.0,"July 1, 2017",Official estimate,nicaragua
165,Niger,1186408.0,458075.0,22314743,19.0,49.0,"July 1, 2019",Official annual projection,niger
42,Nigeria,923768.0,356669.0,200962000,218.0,565.0,"July 1, 2019",UN projection,nigeria
–,Niue (NZ),261.0,101.0,1613,6.0,16.0,"September 10, 2011",Final 2011 census result,niue (nz)
–,Norfolk Island (Australia),35.0,14.0,1748,50.0,129.0,"August 9, 2016",census result,norfolk island (australia)
45,North Korea,120540.0,46541.0,25450000,211.0,546.0,"July 1, 2019",UN projection,north korea
99,North Macedonia,25713.0,9928.0,2077132,81.0,210.0,"December 31, 2018",Official estimate,north macedonia
–,Northern Cyprus,3355.0,1295.0,351965,105.0,272.0,"December 31, 2017",Official estimate,northern cyprus
–,Northern Mariana Islands (US),457.0,176.0,56600,124.0,321.0,"July 1, 2020",Annual projection,northern mariana islands (us)
171,Norway,323808.0,125023.0,5367580,17.0,44.0,"January 1, 2020",Official quarterly estimate,norway
177,Oman,309500.0,119499.0,4183841,14.0,36.0,"June 9, 2015",Weekly official estimate,oman
33,Pakistan,803940.0,310403.0,218983520,272.0,705.0,"March 18, 2020",Official population clock,pakistan
140,Palau,444.0,171.0,17900,40.0,104.0,"July 1, 2018",Official estimate,palau
–,Palestine,6020.0,2324.0,4976684,827.0,2142.0,"July 1, 2019",Official Projection,palestine
122,Panama,74177.0,28640.0,4158783,56.0,145.0,"July 1, 2018",Official Projection,panama
166,Papua New Guinea,462840.0,178704.0,8935000,19.0,49.0,"July 1, 2020",Annual official estimate,papua new guinea
169,Paraguay,406752.0,157048.0,7052983,17.0,44.0,"July 1, 2018",Official Projection,paraguay
152,Peru,1285216.0,496225.0,32162184,25.0,65.0,"July 1, 2018",Official estimate,peru
23,Philippines,300000.0,115831.0,108420484,361.0,936.0,"March 18, 2020",Official population clock,philippines
–,Pitcairn Islands (UK),47.3,18.0,56,1.2,3.1,"September 20, 2016",2013 census result,pitcairn islands (uk)
69,Poland,312685.0,120728.0,38386000,123.0,319.0,"June 30, 2019",Official estimate,poland
73,Portugal,92090.0,35556.0,10276617,112.0,290.0,"December 31, 2018",Official estimate,portugal
–,Puerto Rico (US),9104.0,3515.0,3195153,351.0,909.0,"July 1, 2018",Official estimate,puerto rico (us)
39,Qatar,11571.0,4468.0,2740479,237.0,614.0,"May 31, 2019",Official monthly estimate,qatar
175,Republic of the Congo,342000.0,132047.0,5399895,16.0,41.0,"July 1, 2018",UN projection,republic of the congo
–,Reunion (France),2503.7,967.0,850996,340.0,881.0,"January 1, 2016",Official estimate,reunion (france)
97,Romania,238391.0,92043.0,19405156,81.0,210.0,"January 1, 2019",Official annual estimate,romania
181,Russia,17125242.0,6612093.0,146877088,9.0,23.0,"January 1, 2018",Official estimate,russia
14,Rwanda,26338.0,10169.0,12374397,470.0,1217.0,"July 1, 2019",Official Projection,rwanda
–,Saba (Netherlands),13.0,5.0,1947,150.0,388.0,"January 1, 2016",,saba (netherlands)
–,Saint Barthelemy (France),21.0,8.0,9427,449.0,1163.0,"January 1, 2014",Official estimate,saint barthelemy (france)
–,"Saint Helena, Ascension and Tristan da Cunha (UK)",394.0,152.0,5633,14.0,36.0,"February 7, 2016",2016 census result,"saint helena, ascension and tristan da cunha (uk)"
46,Saint Kitts and Nevis,270.0,104.0,56345,209.0,541.0,"July 1, 2019",UN projection,saint kitts and nevis
29,Saint Lucia,617.0,238.0,180454,292.0,756.0,"July 1, 2019",UN projection,saint lucia
–,Saint Martin (France),53.2,21.0,35107,660.0,1709.0,"January 1, 2014",Official estimate,saint martin (france)
–,Saint Pierre and Miquelon (France),242.0,2605.0,6081,25.0,65.0,"January 1, 2010",Official estimate,saint pierre and miquelon (france)
31,Saint Vincent and the Grenadines,389.0,150.0,110520,284.0,736.0,"July 1, 2018",Official estimate,saint vincent and the grenadines
111,Samoa,2831.0,1093.0,199300,70.0,181.0,"July 1, 2020",Annual projection,samoa
11,San Marino,61.0,24.0,34641,568.0,1471.0,"April 30, 2019",Official monthly estimate,san marino
174,Saudi Arabia,2149690.0,830000.0,34218169,16.0,41.0,"January 1, 2019",Annual official estimate,saudi arabia
95,Senegal,196722.0,75955.0,16209125,82.0,212.0,"July 1, 2019",Official Projection,senegal
93,Serbia,77474.0,29913.0,6901188,89.0,231.0,"July 1, 2019",Official estimate,serbia
44,Seychelles,455.0,176.0,96762,213.0,552.0,"June 30, 2018",Official estimate,seychelles
75,Sierra Leone,71740.0,27699.0,7901454,110.0,285.0,"July 1, 2019",Official annual projection,sierra leone
2,Singapore,722.5,279.0,5703600,7894.0,20445.0,"July 1, 2019",Official estimate,singapore
–,Sint Eustatius (Netherlands),21.0,8.0,3193,152.0,394.0,"July 1, 2015",,sint eustatius (netherlands)
–,Sint Maarten (Kingdom of the Netherlands),34.0,13.0,41486,1221.0,3162.0,"January 1, 2019",Official estimate,sint maarten (kingdom of the netherlands)
74,Slovakia,49036.0,18933.0,5450421,111.0,287.0,"December 31, 2018",Official estimate,slovakia
80,Slovenia,20273.0,7827.0,2084301,103.0,267.0,"January 1, 2019",Official quarterly estimate,slovenia
156,Solomon Islands,28370.0,10954.0,682500,24.0,62.0,"July 1, 2018",Official estimate,solomon islands
155,Somalia,637657.0,246201.0,15181925,24.0,62.0,"July 1, 2018",UN projection,somalia
–,Somaliland,176120.0,68000.0,3508180,20.0,52.0,"August 17, 2017",,somaliland
130,South Africa,1220813.0,471359.0,58775022,48.0,124.0,"July 1, 2019",Official estimate,south africa
13,South Korea,100210.0,38691.0,51780579,517.0,1339.0,"July 1, 2020",Official annual projection,south korea
–,South Ossetia,3900.0,1506.0,53532,14.0,36.0,"August 11, 2016",,south ossetia
164,South Sudan,644329.0,248777.0,12778250,20.0,52.0,"July 1, 2019",Official annual projection,south sudan
89,Spain,505990.0,195364.0,46934632,93.0,241.0,"July 1, 2019",Official estimate,spain
25,Sri Lanka,65610.0,25332.0,21803000,332.0,860.0,"July 1, 2019",Official estimate,sri lanka
161,Sudan,1839542.0,710251.0,40782742,22.0,57.0,"July 1, 2017",Official annual projection,sudan
190,Suriname,163820.0,63251.0,568301,3.5,9.1,"July 1, 2018",UN projection,suriname
–,Svalbard and Jan Mayen (Norway),61399.0,23706.0,2655,0.04,0.1,"September 1, 2012",Official estimate,svalbard and jan mayen (norway)
159,Sweden,450295.0,173860.0,10365705,23.0,60.0,"March 18, 2020",Official population clock,sweden
48,Switzerland,41285.0,15940.0,8586550,208.0,539.0,"September 30, 2019",Official provisional figure,switzerland
90,Syria,185180.0,71498.0,17070135,92.0,238.0,"July 1, 2019",UN projection,syria
49,São Tomé and Príncipe,1001.0,386.0,201784,202.0,523.0,"July 1, 2018",Official estimate,são tomé and príncipe
–,Taiwan,36197.0,13976.0,23604265,652.0,1689.0,"January 31, 2020",Monthly official estimate,taiwan
118,Tajikistan,143100.0,55251.0,9127000,64.0,166.0,"January 1, 2019",Official estimate,tajikistan
121,Tanzania,945087.0,364900.0,55890747,59.0,153.0,"July 1, 2019",Official annual projection,tanzania
66,Thailand,513120.0,198117.0,66482792,130.0,336.0,"March 18, 2020",Official population clock,thailand
104,Timor-Leste,14919.0,5760.0,1167242,78.0,202.0,"July 11, 2015",Preliminary 2015 census result,timor-leste
65,Togo,56600.0,21853.0,7538000,133.0,344.0,"July 1, 2019",Official estimate,togo
–,Tokelau (NZ),10.0,4.0,1400,140.0,363.0,"July 1, 2020",Annual projection,tokelau (nz)
61,Tonga,720.0,278.0,100000,139.0,360.0,"July 1, 2020",Annual projection,tonga
–,Transnistria,4163.0,1607.0,469000,113.0,293.0,"January 1, 2018",Official estimate,transnistria
34,Trinidad and Tobago,5155.0,1990.0,1363985,265.0,686.0,"July 1, 2019",Official annual estimate,trinidad and tobago
110,Tunisia,163610.0,63170.0,11722038,72.0,186.0,"July 1, 2019",Official estimate,tunisia
77,Turkey,783562.0,302535.0,83154997,106.0,275.0,"December 31, 2019",Annual official estimate,turkey
178,Turkmenistan,491210.0,189657.0,5851466,12.0,31.0,"July 1, 2018",UN projection,turkmenistan
–,Turks and Caicos Islands (UK),497.0,192.0,37910,76.0,197.0,"July 1, 2016",Official estimate,turks and caicos islands (uk)
21,Tuvalu,26.0,10.0,10300,396.0,1026.0,"July 1, 2020",Annual projection,tuvalu
52,Uganda,241551.0,93263.0,40006700,166.0,430.0,"July 1, 2019",Annual official estimate,uganda
113,Ukraine,603000.0,232820.0,41902416,69.0,179.0,"January 1, 2020",Official monthly estimate,ukraine
71,United Arab Emirates,83600.0,32278.0,9770529,117.0,303.0,"July 1, 2019",UN projection,united arab emirates
32,United Kingdom,242910.0,93788.0,66435600,274.0,710.0,"July 1, 2018",Official estimate,united kingdom
145,United States,9833517.0,3796742.0,329470935,34.0,87.0,"March 18, 2020",Official population clock,united states
–,United States Virgin Islands (US),352.0,136.0,104909,298.0,772.0,"July 1, 2019",UN projection,united states virgin islands (us)
163,Uruguay[note 5],176215.0,68037.0,3518553,20.0,52.0,"June 30, 2019",Official annual projection,uruguay[note 5]
107,Uzbekistan,447400.0,172742.0,32653900,73.0,189.0,"January 1, 2018",Official estimate,uzbekistan
153,Vanuatu,12281.0,4742.0,304500,25.0,65.0,"July 1, 2018",Official estimate,vanuatu
3,Vatican City,0.44,0.17,1000,2273.0,5887.0,"July 1, 2017",Official estimate,vatican city
144,Venezuela,916445.0,353841.0,32219521,35.0,91.0,"July 1, 2019",Official annual projection,venezuela
30,Vietnam,331212.0,127882.0,96208984,290.0,751.0,"April 1, 2019",Official annual projection,vietnam
–,Wallis & Futuna (France),142.0,55.0,11600,82.0,212.0,"July 1, 2020",Annual projection,wallis & futuna (france)
–,Western Sahara,252120.0,97344.0,567421,2.3,6.0,"July 1, 2018",UN projection,western sahara
116,Yemen,455000.0,175676.0,28915284,64.0,166.0,"July 1, 2018",UN projection,yemen
160,Zambia,752612.0,290585.0,16405229,22.0,57.0,"July 1, 2017",Official annual projection,zambia
141,Zimbabwe,390757.0,150872.0,15159624,39.0,101.0,"July 1, 2019",Official annual projection,zimbabwe
–,Åland Islands (Finland),1552.0,599.0,29789,19.0,49.0,"December 31, 2018",Official estimate,åland islands (finland)
