feature_set_name,run_id,model_label,model_family,n_features,uses_current_city_crime_like_signal,cv_mae_mean,cv_rmse_mean,cv_r2_mean,cv_rmse_std,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,rmse_overfit_gap,params_json,feature_list,n_estimators,max_depth,max_features,min_samples_leaf,min_samples_split,learning_rate,max_iter,n_neighbors,weights,p_metric,batch_size,alpha,learning_rate_init,hidden_layer_sizes,leakage_label,cv_test_gap,train_test_gap
all_features,3782,extra_trees__all_features__3782,extra_trees,45,1,5.761750499849458,8.200348456888731,0.7054769898344191,1.0518937818558511,5.280886293367879e-13,6.42709990413948e-13,1.0,5.848737377450938,8.169564496387302,0.7258608145844189,8.16956449638666,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 800}",dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,800.0,16.0,0.7,1.0,2.0,0.08,400.0,7.0,distance,1.0,128.0,0.0005,0.001,"[64, 64, 32]",Includes current crime,-0.030783960501429064,8.16956449638666
all_without_current_crime,3249,extra_trees__all_without_current_crime__3249,extra_trees,44,0,5.982047424721463,8.448629558815934,0.6882990765345124,1.0965313454952816,2.4570027124866e-06,3.5049981876749146e-05,0.999999999994689,5.880492647058829,8.236800414613171,0.7213298881207977,8.236765364631294,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400}",dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,400.0,16.0,0.7,1.0,2.0,0.08,400.0,7.0,distance,1.0,256.0,0.001,0.0007,[256],No current crime,-0.21182914420276333,8.236765364631294
geo_demo,608,extra_trees__geo_demo__0608,extra_trees,7,0,8.510650859873465,10.757419746116824,0.492859161922117,0.9319974023663716,3.573997910422752,4.870657504284949,0.8974410720818199,8.073389009300914,10.87007394548252,0.5146686970706972,5.999416441197569,"{""max_depth"": 16, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 800}",lat | lon | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2,800.0,16.0,0.7,1.0,4.0,0.03,400.0,15.0,distance,1.0,64.0,0.001,0.001,"[128, 64, 32]",No current crime,0.11265419936569643,5.999416441197571
geo_density,2202,extra_trees__geo_density__2202,extra_trees,11,0,8.941976839291907,11.595218171707051,0.4167813950223122,1.3460946440912636,0.4726639192142938,0.7459207497879199,0.997594620167146,8.96590959114576,11.754055907505013,0.4325222859424008,11.008135157717092,"{""max_depth"": 16, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 800}",lat | lon | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city,800.0,16.0,0.7,1.0,2.0,0.08,200.0,7.0,distance,2.0,128.0,0.001,0.0003,"[256, 128, 64]",No current crime,0.15883773579796134,11.008135157717092
geo_knn,1661,extra_trees__geo_knn__1661,extra_trees,19,0,7.373660699170871,10.083581717389023,0.5570162345300269,1.3676682855118516,0.3383440236677207,0.5567042096298794,0.9986601773994946,6.535214020976302,9.227747561525597,0.6502443676424428,8.671043351895715,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400}",lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km,400.0,16.0,sqrt,1.0,2.0,0.05,400.0,11.0,distance,2.0,128.0,0.0005,0.0007,"[64, 64]",No current crime,-0.8558341558634268,8.671043351895717
geo_knn_density,2850,knn__geo_knn_density__2850,knn,28,0,7.9168695054490525,10.743162001719671,0.4975881055180128,1.243358502992996,0.0,0.0,1.0,7.061059151055512,9.53675354871921,0.62642790691735,9.53675354871921,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city,400.0,16.0,sqrt,1.0,2.0,0.03,200.0,3.0,distance,1.0,64.0,0.0005,0.0007,"[64, 64, 32]",No current crime,-1.2064084530004617,9.53675354871921
geo_macro,1264,knn__geo_macro__1264,knn,11,0,8.034661391128719,10.876352974430686,0.482229392903845,1.121496894691257,0.084054054054054,0.3012404738673459,0.999607694015801,7.459309929713725,10.44544671716759,0.5518459324240312,10.144206243300244,"{""n_neighbors"": 7, ""p"": 2, ""weights"": ""distance""}",lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,800.0,20.0,0.7,1.0,4.0,0.05,200.0,7.0,distance,2.0,64.0,0.0005,0.001,"[128, 128, 64]",No current crime,-0.4309062572630964,10.144206243300244
geo_only,204,knn__geo_only__0204,knn,2,0,8.464169304546612,11.0591719141968,0.4670468783024502,1.04710270163304,0.084054054054054,0.3012404738673459,0.999607694015801,8.073557104417777,10.931329123642636,0.5091833948820115,10.63008864977529,"{""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}",lat | lon,800.0,16.0,0.7,1.0,2.0,0.08,400.0,11.0,distance,2.0,128.0,0.0001,0.0007,"[128, 64, 32]",No current crime,-0.1278427905541637,10.63008864977529
rf_top_10,4315,extra_trees__rf_top_10__4315,extra_trees,10,1,5.990789948936072,8.316566705207462,0.6977000953840331,0.8936328601790667,1.2878170966420934,1.861596276091198,0.98501801728373,6.327049264705881,8.73417737440492,0.6866589306779166,6.872581098313722,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 400}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city,400.0,16.0,0.7,1.0,4.0,0.05,400.0,7.0,distance,1.0,128.0,0.0001,0.0007,"[128, 128, 64]",Includes current crime,0.41761066919745815,6.872581098313722
rf_top_15,4861,extra_trees__rf_top_15__4861,extra_trees,15,1,5.564270180997124,7.94984376667518,0.7239623506091376,0.9339424721011892,0.1900575939291356,0.3901496784834672,0.9993419471181696,6.053328994699969,8.445178528884636,0.707051703977515,8.055028850401168,"{""max_depth"": 16, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5,400.0,16.0,0.7,1.0,2.0,0.03,200.0,5.0,distance,1.0,64.0,0.001,0.001,"[256, 128, 64]",Includes current crime,0.49533476220945616,8.055028850401168
rf_top_20,5378,extra_trees__rf_top_20__5378,extra_trees,20,1,5.639483102228264,8.021594877577623,0.7191599654545542,0.9057305459926084,1.2899263424026258e-05,0.0001191828236773,0.999999999938592,5.877530147058772,8.317346351035011,0.7158531277076039,8.317227168211334,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 800}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5 | avg_crime_k10 | lat | log1p_num_cities_50km | avg_safety_k10 | log1p_dist_to_nearest_large_city,800.0,16.0,0.7,1.0,2.0,0.03,200.0,5.0,distance,1.0,128.0,0.001,0.001,"[128, 128, 64]",Includes current crime,0.29575147345738806,8.317227168211334
rf_top_25,5910,extra_trees__rf_top_25__5910,extra_trees,25,1,5.783136717479676,8.184660284612994,0.7075388620162875,0.9293516442324766,1.1056511584600106e-05,0.0001577249184137,0.9999999998924528,5.911233210784276,8.401763588035985,0.7100559369186996,8.401605863117572,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 800}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5 | avg_crime_k10 | lat | log1p_num_cities_50km | avg_safety_k10 | log1p_dist_to_nearest_large_city | log1p_num_cities_100km | dist_to_nearest_large_city | log1p_pop_gravity_100km | log1p_pop_gravity_50km | avg_crime_k5,800.0,16.0,0.7,1.0,2.0,0.03,200.0,3.0,distance,1.0,128.0,0.0005,0.001,"[128, 128, 64]",Includes current crime,0.21710330342299144,8.401605863117572
rf_top_30,6441,extra_trees__rf_top_30__6441,extra_trees,30,1,5.791683665311643,8.231925370985774,0.7038549585858229,1.0020216104987798,1.2285014839795052e-06,1.7524990945845925e-05,0.9999999999986724,5.880814460784323,8.361862226529427,0.7128033817438448,8.36184470153848,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5 | avg_crime_k10 | lat | log1p_num_cities_50km | avg_safety_k10 | log1p_dist_to_nearest_large_city | log1p_num_cities_100km | dist_to_nearest_large_city | log1p_pop_gravity_100km | log1p_pop_gravity_50km | avg_crime_k5 | avg_safety_k5 | unemployment | density_per_km2 | age_15_64 | log1p_num_labeled_within_250km,400.0,16.0,0.7,1.0,2.0,0.05,400.0,3.0,distance,1.0,128.0,0.0005,0.001,"[256, 128, 64]",Includes current crime,0.12993685554365264,8.36184470153848
rf_top_35,6990,extra_trees__rf_top_35__6990,extra_trees,35,1,5.7425359684683785,8.155373130939466,0.7089816343324433,0.9819367624462249,0.1669172669878124,0.3090759421893622,0.9995870203115376,5.860100258497354,8.246914408258581,0.7206451081087684,7.937838466069219,"{""max_depth"": 16, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 800}",crimeindex_2023 | wavg_crime_k5 | wavg_safety_k5 | safetyindex_2020 | crimeindex_2020 | log1p_sum_pop_50km | log1p_sum_pop_100km | log1p_pop_of_nearest_large_city | crime_nearest_labeled_city | safety_nearest_labeled_city | lon | avg_safety_same_country_k5 | log1p_dist_nearest_labeled_city | dist_nearest_labeled_city | avg_crime_same_country_k5 | avg_crime_k10 | lat | log1p_num_cities_50km | avg_safety_k10 | log1p_dist_to_nearest_large_city | log1p_num_cities_100km | dist_to_nearest_large_city | log1p_pop_gravity_100km | log1p_pop_gravity_50km | avg_crime_k5 | avg_safety_k5 | unemployment | density_per_km2 | age_15_64 | log1p_num_labeled_within_250km | tourists | homicide_rate | gdp | urban_population_growth | log1p_num_labeled_within_50km,800.0,16.0,0.7,1.0,2.0,0.05,400.0,7.0,distance,1.0,64.0,0.0005,0.001,[256],Includes current crime,0.09154127731911466,7.937838466069219
