run_id,model_name,model_label,feature_set_name,n_features,uses_crime_like,hidden_sizes,lr,weight_decay,batch_size,max_epochs,best_epoch,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,elapsed_sec,feature_list
12,mlp_large,mlp_large__geo_knn_macro__0012,geo_knn_macro,28,0,"[512, 256, 128]",0.001,0.0005,256,800,136,6.212244207294171,8.309477203005615,0.7116625965878502,6.658175958772983,8.419036176923315,0.6436036372599673,7.622300284142587,9.898417529722947,0.5975565674742602,1.786522388458252,lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
11,mlp_medium,mlp_medium__geo_knn_macro__0011,geo_knn_macro,28,0,"[256, 128, 64]",0.0007,0.0005,128,700,162,6.02396094102126,8.069176119608649,0.7280982699323071,6.9610021535361675,8.724217196066968,0.6172973671754176,7.559570904900046,9.963788521056529,0.5922233921579123,1.9048740863800049,lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
5,mlp_medium,mlp_medium__all_without_current_crime__0005,all_without_current_crime,44,0,"[256, 128, 64]",0.0007,0.0005,128,700,310,2.339032211538462,3.3143794756645413,0.9541269048714867,6.6998582318934,9.11579991162829,0.5821714808081482,7.433808197320676,10.066882459457942,0.58374132054685,3.3341472148895264,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
2,mlp_medium,mlp_medium__all_features__0002,all_features,45,1,"[256, 128, 64]",0.0007,0.0005,128,700,380,1.5475762160081132,2.2942302865250466,0.9780200045032134,6.96010501582448,9.258252745684478,0.5690106119319372,7.136556746912938,10.095206710355868,0.5813956486193392,4.78223729133606,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
10,mlp_small,mlp_small__geo_knn_macro__0010,geo_knn_macro,28,0,"[128, 64]",0.0005,0.0001,128,600,444,6.073185995248648,8.212966096814164,0.718321537257709,6.60448327320378,8.553237610081386,0.6321509950182315,7.815798480463963,10.236761873956965,0.569573988947861,3.280027151107788,lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
3,mlp_large,mlp_large__all_features__0003,all_features,45,1,"[512, 256, 128]",0.001,0.0005,256,800,273,2.41368812115009,3.4384453123394096,0.9506283291989758,6.345120024332186,8.489849612903152,0.6375830456368712,7.426868183285583,10.29458147836305,0.5646979654670793,3.470613718032837,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
1,mlp_small,mlp_small__all_features__0001,all_features,45,1,"[128, 64]",0.0005,0.0001,128,600,594,3.561807907573994,4.926471724872213,0.8986495757791284,6.638641770525676,8.702466998602246,0.6192032073472501,7.511249979804544,10.417847703953273,0.5542110337289188,4.182783126831055,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
4,mlp_small,mlp_small__all_without_current_crime__0004,all_without_current_crime,44,0,"[128, 64]",0.0005,0.0001,128,600,600,3.7108377126840444,5.124792374568562,0.8903253815971316,6.901781993028593,9.121248739234419,0.5816718305271453,7.83151169421626,10.503768468902221,0.5468274590526787,4.293836832046509,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
6,mlp_large,mlp_large__all_without_current_crime__0006,all_without_current_crime,44,0,"[512, 256, 128]",0.001,0.0005,256,800,237,2.6949128427358775,3.783396157094963,0.9402253256802089,6.7750592496918465,9.106280801797764,0.5830436541643623,7.672309244193283,10.541954250270107,0.5435265099169915,2.718308687210083,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
9,mlp_large,mlp_large__crime_index_only__0009,crime_index_only,2,1,"[512, 256, 128]",0.001,0.0005,256,800,310,7.5271015430157,9.961577892287313,0.5856094412315245,6.793403305425877,8.901067043675702,0.601624468310962,8.480863137338675,10.850998355908255,0.5163705911889018,3.286616086959839,crimeindex_2020 | crimeindex_2023
8,mlp_medium,mlp_medium__crime_index_only__0008,crime_index_only,2,1,"[256, 128, 64]",0.0007,0.0005,128,700,695,7.454800365976186,9.901377320487466,0.5906028608297154,6.874183451024497,8.856917854385701,0.6055665437138782,8.47860776863846,10.85391925520712,0.5161101869601277,5.4907386302948,crimeindex_2020 | crimeindex_2023
7,mlp_small,mlp_small__crime_index_only__0007,crime_index_only,2,1,"[128, 64]",0.0005,0.0001,128,600,600,7.496794130061224,9.96767843338678,0.585101734370833,6.922747282632967,9.023322446873784,0.5906060071179267,8.445501452801272,10.853968591471581,0.5161057879279471,4.22947096824646,crimeindex_2020 | crimeindex_2023
